year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
1950,1950-06-29,WC-1950,1950 FIFA World Cup,Spain v Chile,First round,Spain,Chile,ESP,CHL,2,0,2-0,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,0.0,19790,15:00,Alberto Malcher,
1950,1950-06-29,WC-1950,1950 FIFA World Cup,Sweden v Paraguay,First round,Sweden,Paraguay,SWE,PRY,2,2,2-2,draw,0,0,yes,no,no,0-0,Estádio Vila Capanema,S-012,Estádio Vila Capanema,Curitiba,Brazil,0.0,7903,15:30,Robert Mitchell,
1950,1950-06-29,WC-1950,1950 FIFA World Cup,United States v England,First round,United States,England,USA,ENG,1,0,1-0,home team win,1,0,no,no,no,0-0,Estádio Independência,S-007,Estádio Independência,Belo Horizonte,Brazil,0.0,10151,15:00,Generoso Dattilo,
1950,1950-07-01,WC-1950,1950 FIFA World Cup,Brazil v Yugoslavia,First round,Brazil,Yugoslavia,BRA,YUG,2,0,2-0,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,1.0,142429,15:00,Benjamin Griffiths,
1950,1950-07-02,WC-1950,1950 FIFA World Cup,Chile v United States,First round,Chile,United States,CHL,USA,5,2,5-2,home team win,1,0,no,no,no,0-0,Estádio Ilha do Retiro,S-019,Estádio Ilha do Retiro,Recife,Brazil,0.0,8501,15:00,Mario Gardelli,
1950,1950-07-02,WC-1950,1950 FIFA World Cup,Italy v Paraguay,First round,Italy,Paraguay,ITA,PRY,2,0,2-0,home team win,1,0,no,no,no,0-0,Estádio do Pacaembu,S-023,Estádio do Pacaembu,São Paulo,Brazil,0.0,25811,15:00,Arthur Ellis,
1950,1950-07-02,WC-1950,1950 FIFA World Cup,Spain v England,First round,Spain,England,ESP,ENG,1,0,1-0,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,0.0,74462,15:00,Giovanni Galeati,
1950,1950-07-02,WC-1950,1950 FIFA World Cup,Switzerland v Mexico,First round,Switzerland,Mexico,CHE,MEX,2,1,2-1,home team win,1,0,no,no,no,0-0,Estádio dos Eucaliptos,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,0.0,3580,15:40,Ivan Eklind,
1950,1950-07-02,WC-1950,1950 FIFA World Cup,Uruguay v Bolivia,First round,Uruguay,Bolivia,URY,BOL,8,0,8-0,home team win,1,0,no,no,no,0-0,Estádio Independência,S-007,Estádio Independência,Belo Horizonte,Brazil,0.0,5284,15:00,George Reader,
1950,1950-07-09,WC-1950,1950 FIFA World Cup,Brazil v Sweden,Final round,Brazil,Sweden,BRA,SWE,7,1,7-1,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,1.0,138886,15:00,Arthur Ellis,
